 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 0.00000000e+00  0.00000000e+00  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.00000000e-08  1.00000000e-08  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.00000000e-08  2.00000000e-08  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.00000000e-08  4.00000000e-08  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 8.00000000e-08  8.00000000e-08  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.60000000e-07  1.60000000e-07  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.20000000e-07  3.20000000e-07  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 6.40000000e-07  6.40000000e-07  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.28000000e-06  1.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.28000000e-06  2.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.28000000e-06  3.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.28000000e-06  4.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.28000000e-06  5.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 6.28000000e-06  6.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 7.28000000e-06  7.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 8.28000000e-06  8.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 9.28000000e-06  9.28000000e-06  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.02800000e-05  1.02800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.12800000e-05  1.12800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.22800000e-05  1.22800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.32800000e-05  1.32800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.42800000e-05  1.42800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.52800000e-05  1.52800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.62800000e-05  1.62800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.72800000e-05  1.72800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.82800000e-05  1.82800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 1.92800000e-05  1.92800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.02800000e-05  2.02800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.12800000e-05  2.12800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.22800000e-05  2.22800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.32800000e-05  2.32800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.42800000e-05  2.42800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.52800000e-05  2.52800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.62800000e-05  2.62800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.72800000e-05  2.72800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.82800000e-05  2.82800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 2.92800000e-05  2.92800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.02800000e-05  3.02800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.12800000e-05  3.12800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.22800000e-05  3.22800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.32800000e-05  3.32800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.42800000e-05  3.42800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.52800000e-05  3.52800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.62800000e-05  3.62800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.72800000e-05  3.72800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.82800000e-05  3.82800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 3.92800000e-05  3.92800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.02800000e-05  4.02800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.12800000e-05  4.12800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.22800000e-05  4.22800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.32800000e-05  4.32800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.42800000e-05  4.42800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.52800000e-05  4.52800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.62800000e-05  4.62800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.72800000e-05  4.72800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.82800000e-05  4.82800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 4.92800000e-05  4.92800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.02800000e-05  5.02800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.12800000e-05  5.12800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.22800000e-05  5.22800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.32800000e-05  5.32800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.42800000e-05  5.42800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.52800000e-05  5.52800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.62800000e-05  5.62800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.72800000e-05  5.72800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.82800000e-05  5.82800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 5.92800000e-05  5.92800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 6.02800000e-05  6.02800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
 6.12800000e-05  6.12800000e-05  1.00000000e+00  1.00000000e-03  0.00000000e+00  1.00000000e+00  2.00000000e-03 
